,unite_de_temps,type_de_transaction,montant,Solde_avant_transaction,Solde_après_transaction,Solde_initial_destinataire,nouveau_solde_destinataire,transaction_frauduleuse
121109,11,CASH_OUT,242098.95,6045.0,0.0,188374.51,430473.45,0
3269248,251,CASH_OUT,331532.03,0.0,0.0,382650.09,714182.13,0
1405749,139,CASH_IN,45398.29,7136802.2,7182200.5,2398123.88,2352725.59,0
3517053,259,CASH_IN,30284.99,20785062.94,20815347.93,193572.82,163287.83,0
688790,36,CASH_OUT,229929.0,42086.0,0.0,4118816.81,4348745.82,0
4202419,305,CASH_OUT,12820.34,45050.0,32229.66,1060908.36,1073728.71,0
4904857,349,CASH_OUT,478241.4,35895.0,0.0,176.94,478418.34,0
5929683,404,CASH_OUT,123860.81,21370.0,0.0,20249287.47,20373148.28,0
1960515,178,PAYMENT,19723.29,503959.59,484236.31,0.0,0.0,0
3725093,278,CASH_OUT,20062.66,196223.0,176160.34,199745.32,219807.97,0
3410060,255,CASH_OUT,177426.66,162193.27,0.0,267590.06,445016.72,0
3237014,250,TRANSFER,1145694.91,0.0,0.0,9421730.96,10567425.87,0
5336565,374,CASH_IN,178972.25,1522466.34,1701438.59,9632066.93,9453094.68,0
53129,9,CASH_OUT,554435.52,48.0,0.0,409340.07,3837053.94,0
1823064,163,CASH_IN,90826.4,7328736.95,7419563.35,2123769.56,2032943.16,0
2916341,229,CASH_IN,135883.94,72594.0,208477.94,81812.0,0.0,0
509754,20,CASH_IN,40166.14,3955930.47,3996096.61,75147.04,34980.9,0
5123275,356,PAYMENT,365.04,1506.0,1140.96,0.0,0.0,0
326319,16,CASH_IN,120675.24,3981228.52,4101903.76,159268.75,38593.5,0
4480882,324,CASH_OUT,136377.98,0.0,0.0,1814654.84,1951032.82,0
3836296,282,PAYMENT,3551.12,14654.0,11102.88,0.0,0.0,0
1023902,48,PAYMENT,17169.57,10416.56,0.0,0.0,0.0,0
4832958,347,PAYMENT,2970.2,0.0,0.0,0.0,0.0,0
5546606,382,CASH_IN,231898.37,3052879.17,3284777.54,2116723.93,1884825.57,0
5672395,397,PAYMENT,48730.3,0.0,0.0,0.0,0.0,0
1636481,157,CASH_OUT,294386.8,0.0,0.0,8595417.98,8889804.78,0
1825497,163,CASH_IN,146410.08,313184.0,459594.08,421523.18,275113.1,0
4702501,331,CASH_IN,185990.25,2320522.09,2506512.34,1408292.16,1222301.91,0
3216719,250,TRANSFER,107580.33,0.0,0.0,303628.0,411208.33,0
87432,10,CASH_OUT,61462.98,0.0,0.0,714410.07,775873.05,0
2210634,186,CASH_OUT,283848.18,150855.0,0.0,0.0,283848.18,0
2660065,210,CASH_OUT,260771.54,0.0,0.0,994651.58,1255423.12,0
3606273,264,PAYMENT,4668.03,0.0,0.0,0.0,0.0,0
1706769,160,PAYMENT,3487.46,32845.51,29358.05,0.0,0.0,0
5553984,383,CASH_IN,195865.81,976247.47,1172113.28,387643.24,191777.43,0
3654553,275,CASH_IN,209675.77,10755173.6,10964849.37,721382.61,511706.84,0
3057773,234,PAYMENT,16053.78,0.0,0.0,0.0,0.0,0
3468794,258,PAYMENT,9713.08,0.0,0.0,0.0,0.0,0
6207786,587,PAYMENT,13594.14,0.0,0.0,0.0,0.0,0
1776801,162,PAYMENT,1335.99,36248.0,34912.01,0.0,0.0,0
3587748,262,TRANSFER,933743.91,119008.0,0.0,92695.25,1026439.15,0
3817878,281,PAYMENT,8999.9,0.0,0.0,0.0,0.0,0
4664662,330,CASH_OUT,77435.83,0.0,0.0,1857787.38,1935223.22,0
3997265,298,PAYMENT,11338.15,0.0,0.0,0.0,0.0,0
5122276,356,CASH_OUT,41252.89,0.0,0.0,743132.33,784385.22,0
6004204,428,CASH_IN,427066.03,5463330.71,5890396.74,1081833.68,654767.65,0
2207826,186,CASH_OUT,420100.86,0.0,0.0,1955034.45,2375135.31,0
1389144,139,PAYMENT,264.05,0.0,0.0,0.0,0.0,0
1825030,163,CASH_IN,37431.12,9237818.25,9275249.36,1511628.39,1474197.28,0
2304681,188,CASH_OUT,190091.56,0.0,0.0,2257643.87,2447735.43,0
