,Unnamed: 0,unite_de_temps,type_de_transaction,montant,Solde_avant_transaction,Solde_après_transaction,Solde_initial_destinataire,nouveau_solde_destinataire,transaction_frauduleuse
0,121109,11,CASH_OUT,242098,6045,0,188374,430473,0
1,3269248,251,CASH_OUT,331532,0,0,382650,714182,0
2,1405749,139,CASH_IN,45398,7136802,7182200,2398123,2352725,0
3,3517053,259,CASH_IN,30284,20785062,20815347,193572,163287,0
4,688790,36,CASH_OUT,229929,42086,0,4118816,4348745,0
5,4202419,305,CASH_OUT,12820,45050,32229,1060908,1073728,0
6,4904857,349,CASH_OUT,478241,35895,0,176,478418,0
7,5929683,404,CASH_OUT,123860,21370,0,20249287,20373148,0
8,1960515,178,PAYMENT,19723,503959,484236,0,0,0
9,3725093,278,CASH_OUT,20062,196223,176160,199745,219807,0
10,3410060,255,CASH_OUT,177426,162193,0,267590,445016,0
11,3237014,250,TRANSFER,1145694,0,0,9421730,10567425,0
12,5336565,374,CASH_IN,178972,1522466,1701438,9632066,9453094,0
13,53129,9,CASH_OUT,554435,48,0,409340,3837053,0
14,1823064,163,CASH_IN,90826,7328736,7419563,2123769,2032943,0
15,2916341,229,CASH_IN,135883,72594,208477,81812,0,0
16,509754,20,CASH_IN,40166,3955930,3996096,75147,34980,0
17,5123275,356,PAYMENT,365,1506,1140,0,0,0
18,326319,16,CASH_IN,120675,3981228,4101903,159268,38593,0
19,4480882,324,CASH_OUT,136377,0,0,1814654,1951032,0
20,3836296,282,PAYMENT,3551,14654,11102,0,0,0
21,1023902,48,PAYMENT,17169,10416,0,0,0,0
22,4832958,347,PAYMENT,2970,0,0,0,0,0
23,5546606,382,CASH_IN,231898,3052879,3284777,2116723,1884825,0
24,5672395,397,PAYMENT,48730,0,0,0,0,0
25,1636481,157,CASH_OUT,294386,0,0,8595417,8889804,0
26,1825497,163,CASH_IN,146410,313184,459594,421523,275113,0
27,4702501,331,CASH_IN,185990,2320522,2506512,1408292,1222301,0
28,3216719,250,TRANSFER,107580,0,0,303628,411208,0
